what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1537629655362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537629656396
opened,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1537629659384
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1537629659778
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1537629659784
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1537629659784
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1537629659785
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1537629659791
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1537629659829
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1537629661801
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537629663519
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537629741733
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537669315473
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1537669321004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537669324251
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537669326030
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1537669326048
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537669327773
