what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1543892214175
java.specification.version,sysinfo,,,"1.6",1543892214175
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1543892214175
java.version,sysinfo,,,"1.6.0_23",1543892214175
java.vm.info,sysinfo,,,"mixed mode",1543892214175
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1543892214175
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1543892214175
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1543892214175
java.vm.specification.version,sysinfo,,,"1.0",1543892214175
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1543892214175
java.vm.version,sysinfo,,,"19.0-b09",1543892214175
started,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1543892214618
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1543892215230
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892215351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892218090
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1543892219433
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1543892219476
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1543892219477
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1543892219491
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1543892220444
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1543892220484
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1543892220484
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1543892221688
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1543892221745
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1543892221745
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1543892222395
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1543892222395
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1543892223364
started,bundle,com.altera.sbtgui.core,13.0.0.156,"com.altera.sbtgui.core",1543892224393
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1543892224460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892226030
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892228133
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1543892228138
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1543892228138
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892230530
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892278908
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1543892278914
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1543892278914
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1543892279270
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1543892279290
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1543892279332
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1543892279374
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892279625
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1543892280236
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1543892280350
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1543892280358
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1543892280359
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1543892280360
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892284057
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892325342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892350299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892354000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892354889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892355199
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892355531
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1543892356178
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1543892356182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892358274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892374384
started,bundle,com.altera.sbtgui.ui,13.0.0.156,"com.altera.sbtgui.ui",1543892381098
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892381682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892411885
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892413029
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892421557
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1543892423302
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1543892423353
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1543892434175
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1543892435169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892436296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892441174
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1543892441181
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1543892441777
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1543892444718
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1543892448579
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1543892450583
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1543892456902
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1543892457602
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1543892479753
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1543892514179
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1543892526099
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1543892527082
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892532935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892554741
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1543892558381
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1543892560165
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1543892560201
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1543892568570
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1543892569722
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892572699
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892577457
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1543892577721
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1543892597563
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1543892600364
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1543892603939
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1543892605135
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1543892607938
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1543892622789
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1543892623769
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1543892626126
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1543892636592
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1543892637353
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1543892641000
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1543892641876
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1543892645771
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1543892646305
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1543892646664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892650307
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892658570
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1543892701292
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1543892732097
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1543892733063
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1543892738118
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1543892742414
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1543892743205
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1543892744645
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1543892781765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1543892784105
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1543892788905
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1543892791694
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1543892794694
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1543892802215
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1543892803886
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892805263
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892815708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892817250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892817312
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892817383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892841796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892854242
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892882939
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1543892903642
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892905486
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892912889
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1543892917722
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1543892940006
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1543892943273
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1543892948984
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1543892962257
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1543892980857
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1543892981100
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543892988608
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543893002802
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1543893008341
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1543893009575
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1543893017846
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1543893035407
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1543893036818
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1543893050780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1543893054956
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1543893066511
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1543893068383
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1543893069164
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1543893075024
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1543893075443
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1543893076534
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1543893077212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543893077494
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543893080226
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543893083972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543893098392
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1543893098400
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1543893100018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543893100585
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543893104270
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1543893104729
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543893108041
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543893135833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543893139733
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543893141732
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1543893142132
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1543893142703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543893142998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543893158342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543893183535
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543893191404
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543894415394
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543894425959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543894427252
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543894429624
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543894431257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543894461587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543894462172
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543894475330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543894475974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543896058037
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543896058766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543896060182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543896063991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543896066902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543896068149
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543897156596
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543897983055
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543897983276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543897983776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543897984463
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543897984480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543898185565
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543898187066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543898204631
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1543898209421
started,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.156,"com.altera.debug.cdi.gdb.plugin",1543898210249
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543898210360
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543898217841
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1543898217852
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1543898225935
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1543898226846
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1543898227587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543898227908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543898231281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543898233190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543898236022
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1543898236037
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543898237066
opened,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1543898239828
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1543898240214
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1543898240226
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1543898242355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543898244955
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1543898244965
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1543898245031
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1543898252129
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1543898266917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543898270842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543898271409
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1543898282780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543898283085
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543898287155
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1543898291863
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1543898293362
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1543898294366
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1543898296989
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1543898340270
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1543898394449
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1543898395643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543898395975
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543898400034
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1543898405546
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1543898407090
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1543898408057
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1543898410672
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1543898438380
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1543898467165
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1543898476775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543898477110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543898481154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543898483541
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1543898486091
