what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1537625213809
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537625215722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537625217477
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1537625217487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537625218981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537625220902
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1537625221191
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1537625222479
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1537625223428
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1537625234675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537625286862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626041562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626045627
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626046992
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1537626047009
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626048522
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626052271
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1537626052274
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1537626053222
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1537626064959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626080016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626202357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626203680
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626310259
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1537626311451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626314451
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626316462
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1537626317376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626317714
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626321711
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1537626323019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626324428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626326799
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1537626326802
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1537626327542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626327867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626330764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626333496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626335384
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1537626335396
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1537626338932
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1537626340257
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1537626341229
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1537626352472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626375470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626524279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626526465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626539407
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1537626539410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626542325
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626544314
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1537626547030
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626547359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626562541
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626567394
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626570207
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1537626570218
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1537626573690
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1537626574919
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1537626575874
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, /cygdrive/d/fpga/AC608/AC601_GHRD/software/lcd_test/lcd_test.elf] return code: 4, 'other error'",1537626587484
error,log,,,"Downloading ELF Process failed",1537626587487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626587526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626589407
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626591580
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626603842
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1537626603846
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626606818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626610030
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1537626610039
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1537626613640
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1537626615026
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1537626615957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626625433
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, /cygdrive/d/fpga/AC608/AC601_GHRD/software/lcd_test/lcd_test.elf] return code: 4, 'other error'",1537626627616
error,log,,,"Downloading ELF Process failed",1537626627616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626631434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626632396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626671616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626673246
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537626782233
